Myelinated_fibreDiam,Myelinated_fibreDiamCount,Myelinated_gRatio,Myelinated_gRatioCount,Myelinated_axonDiam,Myelinated_axonCount
2,0,0.2,1.10701107,1,0.69945378
3,1.384025172,0.3,9.963099631,2,19.49297419
4,10.95198771,0.4,42.43542435,3,53.41596131
5,13.87683849,0.5,70.11070111,4,51.91385565
6,21.59978257,0.6,47.23247232,5,41.55443439
7,32.64375987,0.7,14.39114391,6,19.75670266
8,33.35563384,0.8,5.904059041,7,7.183213109
9,27.0564377,0.9,4.05904059,8,2.360005004
10,23.33922206,,,9,0.119876579
11,17.40902961,,,,
12,9.264815028,,,,
13,5.178595695,,,,
14,0.724418009,,,,
15,0,,,,
