Myelinated_fibreDiam,Myelinated_fibreDiamCount,Myelinated_gRatio,Myelinated_gRatioCount,Myelinated_axonDiam,Myelinated_axonCount,,,,,
0,3.760,0.16667,1.083001618,0,59.43409106,,,,,
1,28.581,0.18333,1.909619878,1,301.358192,,,,,
2,80.238,0.20000,0,2,296.8166144,,,,,
3,192.947,0.21667,2.017144675,3,308.3852599,,,,,
4,202.470,0.23333,1.205919679,4,250.2533871,,,,,
5,174.112,0.25000,3.124433442,5,196.7787739,,,,,
6,169.250,0.26667,5.043232266,6,175.4519499,,,,,
7,161.906,0.28333,7.052737321,7,137.3122563,,,,,
8,144.374,0.30000,10.15527812,8,127.6725957,,,,,
9,134.257,0.31667,15.16778087,9,95.49949153,,,,,
10,116.809,0.33333,10.08025021,10,58.68200386,,,,,
11,116.847,0.35000,13.18193583,11,42.00753437,,,,,
12,117.533,0.36667,15.28243218,12,32.13732632,,,,,
13,108.026,0.38333,23.29793263,13,21.20531332,,,,,
14,111.394,0.40000,16.20773836,14,15.01188736,,,,,
15,84.227,0.41667,17.21719439,15,12.39012367,,,,,
16,67.913,0.43333,23.23031629,16,0,,,,,
17,34.708,0.45000,24.14878102,,,,,,,
18,35.412,0.46667,27.97782686,,,,,,,
19,19.474,0.48333,34.9014318,,,,,,,
20,20.640,0.50000,36.81994556,,,,,,,
21,12.626,0.51667,45.10813483,,,,,,,
22,5.866,0.53333,48.93746572,,,,,,,
23,2.225,0.55000,67.78121497,,,,,,,
24,0,0.56667,76.79647939,,,,,,,
,,0.58333,70.7074744,,,,,,,
,,0.60000,70.71517103,,,,,,,
,,0.61667,81.73309905,,,,,,,
,,0.63333,68.6383347,,,,,,,
,,0.65000,66.64450797,,,,,,,
,,0.66667,54.8236217,,,,,,,
,,0.68333,44.09463094,,,,,,,
,,0.70000,27.9968689,,,,,,,
,,0.71667,21.18164393,,,,,,,
,,0.73333,11.18058351,,,,,,,
,,0.75000,4.090674305,,,,,,,
