Myelinated_fibreDiam,Myelinated_fibreDiamCount,Unmyelinated_axonDiam,Unmyelinated_axonCount
1,0.247524752,0.25,1.856435644
2,3.836633663,0.50,19.92574257
3,23.63861386,0.75,27.97029703
4,29.20792079,1.00,19.92574257
5,13.49009901,1.25,13.49009901
6,8.415841584,1.50,8.415841584
7,4.826732673,1.75,4.331683168
8,2.351485149,2.00,3.712871287
9,1.608910891,2.25,0.371287129
10,1.361386139,,
11,1.608910891,,
12,0.99009901,,
13,1.237623762,,
14,1.237623762,,
15,1.113861386,,
16,0.99009901,,
17,1.113861386,,
18,0.618811881,,
